num_clients,scenario_type,van_file,uav_file,drone_speed,tsp_delivery_time,fstsp_delivery_time,time_savings_percent
20,semi_urban,Van_Semi-Urban_20.xlsx,Drone_Semi-Urban_20.xlsx,20,3.4899999999999998,2.96,15.186246418338104
20,semi_urban,Van_Semi-Urban_20.xlsx,Drone_Semi-Urban_20.xlsx,29,3.4899999999999998,2.1825,37.464183381088816
20,semi_urban,Van_Semi-Urban_20.xlsx,Drone_Semi-Urban_20.xlsx,38,3.4899999999999998,1.8708947368421052,46.39270095008294
20,semi_urban,Van_Semi-Urban_20.xlsx,Drone_Semi-Urban_20.xlsx,47,3.4899999999999998,1.8475000000000001,47.06303724928366
20,semi_urban,Van_Semi-Urban_20.xlsx,Drone_Semi-Urban_20.xlsx,56,3.4899999999999998,1.783267857142857,48.9034997953336
40,urban,Van_Urban_40.xlsx,Drone_Urban_40.xlsx,20,0.7127500000000002,0.59025,17.18695194668539
40,urban,Van_Urban_40.xlsx,Drone_Urban_40.xlsx,29,0.7127500000000002,0.5765,19.11609961417049
40,urban,Van_Urban_40.xlsx,Drone_Urban_40.xlsx,38,0.7127500000000002,0.5470263157894738,23.251306097583495
40,urban,Van_Urban_40.xlsx,Drone_Urban_40.xlsx,47,0.7127500000000002,0.522,26.762539459838674
40,urban,Van_Urban_40.xlsx,Drone_Urban_40.xlsx,56,0.7127500000000002,0.47524999999999995,33.321641529288
40,semi_urban,Van_Semi-Urban_40.xlsx,Drone_Semi-Urban_40.xlsx,20,1.370525,1.239925,9.529195016508277
40,semi_urban,Van_Semi-Urban_40.xlsx,Drone_Semi-Urban_40.xlsx,29,1.370525,1.069525,21.96238667663851
40,semi_urban,Van_Semi-Urban_40.xlsx,Drone_Semi-Urban_40.xlsx,38,1.370525,1.040525,24.078364130533924
40,semi_urban,Van_Semi-Urban_40.xlsx,Drone_Semi-Urban_40.xlsx,47,1.370525,1.096115425531915,20.022223196810344
40,semi_urban,Van_Semi-Urban_40.xlsx,Drone_Semi-Urban_40.xlsx,56,1.370525,1.0773464285714287,21.391698176142082
60,urban,Van_Urban_60.xlsx,Drone_Urban_60.xlsx,20,1.0665000000000002,0.8715000000000003,18.28410689170182
60,urban,Van_Urban_60.xlsx,Drone_Urban_60.xlsx,29,1.0665000000000002,0.8215000000000002,22.972339428035625
60,urban,Van_Urban_60.xlsx,Drone_Urban_60.xlsx,38,1.0665000000000002,0.8026184210526318,24.742764083203785
60,urban,Van_Urban_60.xlsx,Drone_Urban_60.xlsx,47,1.0665000000000002,0.7791063829787236,26.947362121076097
60,urban,Van_Urban_60.xlsx,Drone_Urban_60.xlsx,56,1.0665000000000002,0.7452500000000002,30.121894045944675
60,semi_urban,Van_Semi-Urban_60.xlsx,Drone_Semi-Urban_60.xlsx,20,1.9112750000000003,1.6780250000000003,12.203895305489787
60,semi_urban,Van_Semi-Urban_60.xlsx,Drone_Semi-Urban_60.xlsx,29,1.9112750000000003,1.6688784482758623,12.68245290312163
60,semi_urban,Van_Semi-Urban_60.xlsx,Drone_Semi-Urban_60.xlsx,38,1.9112750000000003,1.605525,15.997174660893915
60,semi_urban,Van_Semi-Urban_60.xlsx,Drone_Semi-Urban_60.xlsx,47,1.9112750000000003,1.5834664893617023,17.151300081793458
60,semi_urban,Van_Semi-Urban_60.xlsx,Drone_Semi-Urban_60.xlsx,56,1.9112750000000003,1.5507750000000002,18.86175458790598
100,urban,Van_Urban_100.xlsx,Drone_Urban_100.xlsx,20,1.594725,1.3029750000000002,18.294690307106222
100,urban,Van_Urban_100.xlsx,Drone_Urban_100.xlsx,29,1.594725,1.2816439655172414,19.632289860807262
100,urban,Van_Urban_100.xlsx,Drone_Urban_100.xlsx,38,1.594725,1.2439749999999994,21.99438774710377
100,urban,Van_Urban_100.xlsx,Drone_Urban_100.xlsx,47,1.594725,1.1144749999999994,30.114910094216906
100,urban,Van_Urban_100.xlsx,Drone_Urban_100.xlsx,56,1.594725,1.0465392857142854,34.374937013322956
100,semi_urban,Van_Semi-Urban_100.xlsx,Drone_Semi-Urban_100.xlsx,20,2.8437749999999986,2.340499999999999,17.697426835808027
100,semi_urban,Van_Semi-Urban_100.xlsx,Drone_Semi-Urban_100.xlsx,29,2.8437749999999986,2.3437500000000004,17.583142126223013
100,semi_urban,Van_Semi-Urban_100.xlsx,Drone_Semi-Urban_100.xlsx,38,2.8437749999999986,2.3237500000000004,18.286432646745908
100,semi_urban,Van_Semi-Urban_100.xlsx,Drone_Semi-Urban_100.xlsx,47,2.8437749999999986,2.2827499999999996,19.728178213817873
100,semi_urban,Van_Semi-Urban_100.xlsx,Drone_Semi-Urban_100.xlsx,56,2.8437749999999986,2.2110000000000003,22.251232956193743
